source,target,weight
8,156,14918120
156,32,4000
51,100,142961400
51,156,304388480
51,268,13920
51,642,17
51,757,196460460
51,826,955
31,372,215
31,757,12423200
31,792,23800
31,826,214
31,860,6276995
36,100,10150000
36,156,801532410
36,276,13500000
36,392,341317510
36,410,161077040
36,418,2000
36,458,9002285
36,608,41603100
36,699,34155000
36,724,10557000
152,36,20193434
604,36,9991950
36,40,15
76,40,1513
276,40,278
484,40,5
591,40,8
757,40,5
807,40,337
842,40,36
56,76,22099
56,124,5461
56,152,3
56,392,172610
36,56,900
76,56,5
246,56,449
276,56,157459
710,56,37
792,56,70
842,56,115525
68,152,4210552
68,156,1646315
68,398,479965
68,604,1711868
56,70,24000
792,70,276
72,124,415
72,690,161006
72,710,2992152
710,72,200
76,36,157
76,100,37616960
76,124,6731550
76,152,9997000
76,156,191201134
76,246,86604876
76,268,30287000
76,276,289583873
76,344,148110
76,392,836246
76,410,20486500
76,458,24261066
76,554,12
76,604,1408933
76,608,39217000
76,616,89872060
76,699,11017100
76,710,696
76,724,170591700
76,752,53216000
76,826,10
76,842,18
152,76,197220290
591,76,74309850
604,76,29847890
724,76,34
124,100,16136715
124,156,248240485
124,246,76696774
124,276,42505544
124,300,109866
124,381,22236
124,392,313726556
124,410,135120461
124,458,72825
124,484,1866050
124,586,8565
124,608,24770157
124,634,126
124,699,29058588
124,704,8169
124,724,12910442
124,752,25086316
124,757,4087002
124,764,4690
124,826,6748419
124,842,11328000
51,124,105587
152,124,2770858
156,124,27
180,124,57
203,124,67
246,124,127770
251,124,19840
276,124,14720
484,124,1701061
516,124,2
604,124,6348037
682,124,1432354
757,124,196814
792,124,5670177
826,124,8
842,124,38977690
156,704,2107
156,381,26000
156,364,65
156,180,2516
156,218,637
156,56,13
834,156,2274040
842,156,166747579
894,156,17668075
710,156,49141090
716,156,2755490
724,156,475691000
764,156,1226064
784,156,548470
792,156,95761753
643,156,284368000
682,156,174898000
699,156,68207900
704,156,64023382
706,156,53278
566,156,29016
586,156,4418825
591,156,262288000
598,156,19813000
604,156,4809740000
608,156,77243079
496,156,1300090000
504,156,34682300
508,156,3254720
512,156,23224000
516,156,1116534
562,156,174726
450,156,157578
458,156,71180810
478,156,120593000
484,156,1768736170
398,156,796604000
404,156,264705
410,156,153630830
417,156,2436230
418,156,201673000
231,156,379095
232,156,92514400
268,156,10886700
360,156,370354300
364,156,2751550
178,156,3274260
180,156,215919815
204,156,16420
218,156,162799000
104,156,6667690
152,156,7717750000
170,156,46121595
344,156,206893
156,344,272774
170,604,53482
604,170,153
276,208,7438
752,208,585
180,36,285
180,56,5
180,246,82
180,276,66
180,344,3750604
180,392,945
180,710,3564449
180,826,585
180,894,1247129874
36,180,1
894,180,84061411
842,222,1762
232,233,80
246,36,42
246,710,1
246,752,63407000
36,246,36711914
276,246,9
398,246,50
604,246,98741684
620,246,89203609
724,246,49697100
752,246,10855181
792,246,11110794
842,246,93
251,276,12732
251,376,253
251,392,3828500
251,410,484580
251,699,2
56,251,2140
156,251,7
276,251,159
381,251,1070
504,251,40
757,251,288
842,251,2874
36,300,1
381,300,105
826,300,1
320,842,1
156,320,68
276,320,325
842,320,2473
276,352,253
360,100,43000000
360,276,84000000
360,392,316429100
360,410,130625400
360,458,11002800
360,608,42718750
360,699,111320500
360,724,43000000
124,360,321
156,360,91
276,360,5
392,360,85
410,360,965636
458,360,394449
508,360,724310
608,360,1930135
699,360,13
702,360,2775
842,360,52
699,36,18
699,124,1
699,410,4787075
699,764,18000
699,826,51
699,842,25
152,699,361613000
231,699,25000
458,699,11006000
604,699,28303000
682,699,10197000
826,699,23790
834,699,26
842,699,17852
372,842,105
251,372,3205
276,372,37
398,372,167
702,372,49
826,372,1818
842,372,1
381,156,10000
381,203,20000
381,276,12100
381,348,525
381,422,800
381,616,2037
381,642,3711
381,705,17000
381,724,25067
381,757,1000
381,792,2002
381,804,3000
381,842,68
56,381,19000
251,381,2000
152,392,2403460000
484,392,20538000
591,392,94874000
598,392,200110000
604,392,745557000
608,392,80563000
682,392,68638000
842,392,137459045
442,56,5381
410,442,2
458,116,149805
458,404,39184
458,410,2576271
458,784,51720
8,458,12994950
152,458,28356510
156,458,4771560
232,458,11945300
344,458,53745
392,458,784852
484,458,4968820
504,458,4004780
566,458,1439785
604,458,61543510
699,458,1910231
748,458,766750
764,458,15301
784,458,438359
792,458,6988935
826,458,2294
484,410,16444830
826,484,25
842,484,393890657
516,276,113467
516,710,7635
516,826,31
56,516,5
100,516,97518675
152,516,23944215
180,516,1090538
410,516,2
508,516,5
604,516,73739997
757,516,1017125
792,516,15002977
842,516,21817500
894,516,727994
276,579,1124
608,116,917435
608,410,170001
392,608,29
604,608,10038500
616,710,120
40,616,181120
70,616,123000
100,616,287761
178,616,1115
504,616,37906560
579,616,135
410,116,771361
410,764,359131
152,410,764825000
156,410,711
178,410,71750
516,410,3
591,410,91246470
598,410,74670490
604,410,467939600
704,410,840780
710,410,21768447
757,410,2
764,410,258190
784,410,27902545
792,410,10
842,410,29950125
894,410,21
620,276,14691221
620,688,4805920
620,724,10813912
724,620,301769
642,348,689
642,410,283256
642,616,297665
642,688,44071955
56,642,5
100,642,5438
276,642,5071
300,642,6469
348,642,25
364,642,1
688,156,24351311
688,499,15126900
688,724,19170550
688,792,43728
51,688,13550800
100,688,36596600
156,688,13
842,688,15036503
702,116,85795
702,410,347928
702,458,135
702,608,4675
702,784,99
458,702,4176
764,702,4648
842,702,348
710,116,3878640
710,180,71974
710,344,147066
710,384,7
710,458,1295780
710,508,177058940
710,516,103
710,704,14
710,716,4
710,724,307949
710,894,30888
124,710,1210
156,710,17
276,710,155
398,710,7518
484,710,3
504,710,80
716,710,16000
826,710,5
894,710,104090
144,36,37
144,156,36287
724,36,100
724,100,4540150
724,124,860
724,251,450
724,276,15830790
724,616,423058
724,752,34681850
51,724,84258000
152,724,269136250
178,724,68473
196,724,123718000
218,724,329400
251,724,583241
276,724,9200
499,724,51
504,724,16716900
591,724,144374000
604,724,104685000
642,724,252440
682,724,11449700
757,724,20
792,724,3258755
807,724,15
826,724,869900
842,724,106834925
752,276,3749000
752,792,42
152,752,21857000
276,752,17173
484,752,10315000
604,752,11902000
620,752,7630000
792,752,18082955
757,152,23
757,276,103
100,757,2
276,757,9
616,757,460
826,757,7
834,757,10
842,757,700810
764,344,157
764,418,635605
104,764,2594490
156,764,47517
392,764,125834
418,764,635605
807,100,31253900
792,100,156000000
792,826,349
792,842,335
36,792,411
51,792,1594180
152,792,39590800
842,792,1
156,800,39988
834,800,152
156,804,3200
180,804,3
826,56,400
826,233,1
826,276,43921
826,344,1
826,818,26
152,826,31
276,826,1
512,826,351
842,826,17
842,100,4354472
842,116,53639
842,214,242296
842,344,292705
842,454,9910
842,458,685903
842,499,1436630
842,604,394316
842,608,6245060
842,682,830
156,842,1064400
860,643,430
268,860,213150
398,860,92924520
643,860,3000000
762,860,6540240
344,704,40536
894,757,56058555
894,842,5967540
834,894,2188