id,label
512,"Oman"
516,"Namibia"
8,"Albania"
31,"Azerbaijan"
32,"Argentina"
36,"Australia"
40,"Austria"
554,"New Zealand"
562,"Niger"
51,"Armenia"
566,"Nigeria"
56,"Belgium"
579,"Norway"
68,"Bolivia (Plurinational State of)"
70,"Bosnia Herzegovina"
72,"Botswana"
586,"Pakistan"
76,"Brazil"
591,"Panama"
598,"Papua New Guinea"
604,"Peru"
608,"Philippines"
100,"Bulgaria"
616,"Poland"
104,"Myanmar"
620,"Portugal"
116,"Cambodia"
634,"Qatar"
124,"Canada"
642,"Romania"
643,"Russian Federation"
144,"Sri Lanka"
152,"Chile"
156,"China"
682,"Saudi Arabia"
170,"Colombia"
688,"Serbia"
690,"Seychelles"
178,"Congo"
180,"Dem. Rep. of the Congo"
699,"India"
702,"Singapore"
704,"Viet Nam"
705,"Slovenia"
706,"Somalia"
196,"Cyprus"
710,"South Africa"
203,"Czechia"
716,"Zimbabwe"
204,"Benin"
208,"Denmark"
724,"Spain"
214,"Dominican Rep."
218,"Ecuador"
222,"El Salvador"
231,"Ethiopia"
232,"Eritrea"
233,"Estonia"
748,"Eswatini"
752,"Sweden"
757,"Switzerland"
246,"Finland"
762,"Tajikistan"
251,"France"
764,"Thailand"
268,"Georgia"
784,"United Arab Emirates"
276,"Germany"
792,"Turkey"
800,"Uganda"
804,"Ukraine"
807,"North Macedonia"
300,"Greece"
818,"Egypt"
826,"United Kingdom"
320,"Guatemala"
834,"United Rep. of Tanzania"
842,"USA"
344,"China, Hong Kong SAR"
860,"Uzbekistan"
348,"Hungary"
352,"Iceland"
360,"Indonesia"
364,"Iran"
372,"Ireland"
376,"Israel"
381,"Italy"
894,"Zambia"
384,"C̫te d'Ivoire"
392,"Japan"
398,"Kazakhstan"
404,"Kenya"
410,"Rep. of Korea"
417,"Kyrgyzstan"
418,"Lao People's Dem. Rep."
422,"Lebanon"
442,"Luxembourg"
450,"Madagascar"
454,"Malawi"
458,"Malaysia"
478,"Mauritania"
484,"Mexico"
496,"Mongolia"
499,"Montenegro"
504,"Morocco"
508,"Mozambique"